VOTER_ID,LAST_NAME,FIRST_NAME,MIDDLE_NAME,SUFFIX,GENDER,DATE_OF_BIRTH,REGISTRATION_DATE,PARTY,STATUS,HOUSE_NUMBER,STREET_NAME,APT,CITY,STATE,ZIP,COUNTY,PRECINCT,CONGRESSIONAL_DISTRICT,STATE_SENATE_DISTRICT,STATE_HOUSE_DISTRICT,PROPENSITY_SCORE
306468299,Mitchell,John,W,,M,1957-03-13,1984-03-12,DEM,A,9774,Spring St,,Ashburn,VA,20147,Loudoun County,990,VA-11,33,67,42
902099969,Jackson,Jerry,F,,M,1941-07-14,1994-12-09,DEM,A,2764,Mill Blvd,,Woodbridge,VA,22193,Prince William County,292,VA-11,33,39,46
100614068,Anderson,Melissa,J,Sr,F,1992-02-16,2011-01-21,REP,A,2721,Union Ct,,Falls Church,VA,22042,Falls Church City,884,VA-11,30,37,68
107721109,Cook,Joseph,Jean,,M,1959-01-30,1998-08-11,NPA,I,1503,Cherry Pl,Apt 73,Sterling,VA,20164,Loudoun County,922,VA-11,37,67,17
690907304,Jones,Mark,C,,M,1938-09-21,1991-05-09,REP,A,3610,Sunset Rd,Apt 101,Springfield,VA,22153,Fairfax County,837,VA-10,33,37,10
186019028,Cook,David,S,,M,1981-09-06,2020-08-04,DEM,A,1060,Elm Ct,,Vienna,VA,22181,Fairfax County,846,VA-11,39,49,15
817112652,Collins,Gregory,S,,M,1944-10-18,1992-02-02,REP,A,751,College Ave,,Sterling,VA,20166,Loudoun County,954,VA-08,35,41,27
144913399,Taylor,Thomas,H,,M,1999-03-21,2020-01-21,REP,A,5717,Washington Ln,#24,Annandale,VA,22003,Fairfax County,116,VA-10,30,34,33
723403479,Wilson,Brian,S,,M,1974-10-14,2010-03-25,NPA,A,2762,Union Rd,,Herndon,VA,20170,Fairfax County,663,VA-10,32,37,38
454549587,Ramirez,Scott,Lynn,,M,1984-11-06,2024-12-10,DEM,A,9546,Washington Ln,Apt 639,Falls Church,VA,22044,Falls Church City,983,VA-10,36,36,95
341206079,Morris,Patrick,Marie,Sr,M,1968-12-07,2004-04-27,DEM,A,4944,Sunset Rd,,Burke,VA,22015,Fairfax County,729,VA-11,34,46,55
397760792,Thomas,Robert,,IV,M,1938-08-22,2007-03-08,DEM,A,6391,Forest Ct,,Sterling,VA,20164,Loudoun County,116,VA-08,32,53,46
336801619,Thomas,Samantha,W,,F,1938-05-27,1991-01-14,DEM,A,5338,School Way,,Springfield,VA,22152,Fairfax County,723,VA-08,36,47,33
938842599,Johnson,Amy,Rose,,F,1980-03-25,2018-12-19,REP,A,6555,Highland Cir,,Herndon,VA,20170,Fairfax County,727,VA-08,30,42,38
982971099,Gonzalez,Donald,B,IV,M,1948-05-02,1981-04-29,REP,A,9340,Washington Pl,,Manassas,VA,20108,Manassas City,399,VA-11,31,39,96
842800803,Morris,Samantha,,,F,1984-03-31,2014-02-12,DEM,A,7716,Spring Cir,Apt 250,Ashburn,VA,20148,Loudoun County,247,VA-08,37,86,61
860229059,Scott,Kathleen,Lynn,,F,1999-06-19,2020-12-12,DEM,A,5123,Hill Dr,,Woodbridge,VA,22193,Prince William County,282,VA-08,33,49,28
766823010,Scott,Michael,Ann,,M,1991-02-22,2009-04-11,DEM,I,7790,Forest Pl,Apt 62,Sterling,VA,20165,Loudoun County,571,VA-08,36,49,7
392322121,Wilson,Dennis,P,,M,1939-03-22,1991-07-09,REP,A,1329,Elm St,,Reston,VA,20194,Fairfax County,840,VA-08,34,43,70
652543518,Hill,Elizabeth,C,,F,1970-11-06,1999-03-26,REP,A,3850,Chestnut Cir,Apt 845,Alexandria,VA,22302,Alexandria City,590,VA-08,37,53,65
246574716,Brown,Rebecca,N,Sr,F,1975-11-15,2015-05-13,DEM,A,3435,Hill Way,,Woodbridge,VA,22191,Prince William County,810,VA-11,33,39,31
139749508,Cook,Carol,W,,F,1965-06-02,2020-07-26,REP,A,8122,Center Rd,,Sterling,VA,20166,Loudoun County,688,VA-10,37,44,87
510753814,Collins,Susan,,,F,1996-08-21,2014-03-04,NPA,A,2629,Maple Pl,,Herndon,VA,20171,Fairfax County,715,VA-11,39,46,95
961067882,Martinez,Emma,R,,F,1961-08-24,2001-11-27,REP,A,7722,School Ln,Apt 361,Alexandria,VA,22315,Alexandria City,859,VA-10,36,42,46
498866784,Taylor,Brandon,J,,M,1934-06-08,2009-07-19,DEM,A,2253,Maple Ln,,Arlington,VA,22206,Arlington County,428,VA-10,39,53,91
165015165,Flores,Patricia,Lee,IV,F,1957-11-28,1980-09-02,DEM,A,6789,Cedar Rd,,Woodbridge,VA,22193,Prince William County,811,VA-08,39,38,39
659903980,Garcia,Ryan,P,IV,M,1931-01-26,1999-12-03,NPA,A,9350,Washington Ave,Apt 309,McLean,VA,22101,Fairfax County,435,VA-08,30,42,86
893276164,Walker,Michael,Mae,,M,1942-09-09,2009-10-17,DEM,A,5377,College Rd,,Fairfax,VA,22032,Fairfax County,956,VA-11,39,43,45
464883950,Scott,Justin,Ray,,M,1981-07-01,2017-12-21,DEM,A,9937,Park Blvd,,Arlington,VA,22205,Arlington County,373,VA-08,35,67,37
923935280,Nelson,Larry,Mae,,M,1947-11-21,1972-10-01,REP,A,3624,River Ct,,Fairfax,VA,22150,Fairfax County,559,VA-11,31,35,16
222435172,Davis,Dorothy,A,Jr,F,1984-03-30,2007-10-18,DEM,A,8296,Sunset Blvd,,Chantilly,VA,20151,Fairfax County,160,VA-10,31,44,58
893410426,Campbell,Amanda,K,,F,1942-03-16,1992-12-18,DEM,A,9969,Pine Ave,,Vienna,VA,22180,Fairfax County,879,VA-11,37,86,64
849987147,Hill,Kenneth,,Sr,M,1948-02-01,2010-06-02,DEM,A,1481,Meadow Rd,,Falls Church,VA,22043,Falls Church City,888,VA-11,32,45,37
146914391,Scott,Joshua,Rose,,M,1945-12-10,2017-03-23,DEM,A,7037,Meadow Blvd,Apt 421,Fairfax,VA,22180,Fairfax County,457,VA-08,33,38,15
353164777,Flores,Jeffrey,Ann,,M,1958-10-01,1997-06-16,IND,A,3278,Mill Cir,,Annandale,VA,22003,Fairfax County,568,VA-11,36,39,82
121833792,Lee,John,G,,M,1947-03-12,1973-06-09,REP,A,2373,Lincoln Pl,,Annandale,VA,22003,Fairfax County,204,VA-08,32,67,94
898120571,Taylor,Melissa,B,,F,1937-06-26,1991-08-20,DEM,A,5547,Pine St,,Falls Church,VA,22046,Falls Church City,377,VA-11,32,38,6
488856231,Hall,Gary,,,M,1995-05-17,2014-11-08,REP,A,7155,College Rd,,Lorton,VA,22079,Fairfax County,254,VA-10,37,87,72
851854702,Lewis,Gregory,Jean,,M,1985-02-09,2015-11-15,DEM,A,6621,Church Ln,#12,Herndon,VA,20171,Fairfax County,378,VA-10,39,37,26
184675178,Anderson,Angela,H,,F,1946-05-02,2014-04-28,REP,I,9177,Highland Blvd,Apt 257,Alexandria,VA,22307,Alexandria City,391,VA-08,34,46,100
269737590,Green,Sarah,Marie,IV,F,1997-02-17,2020-08-20,REP,A,9613,Pine Rd,,Reston,VA,20194,Fairfax County,690,VA-08,31,35,95
802506364,Perez,Margaret,K,,F,1969-06-26,2004-11-19,DEM,A,8537,Sunset Ave,,Herndon,VA,20171,Fairfax County,573,VA-08,31,35,29
644725317,Ramirez,Richard,J,,M,1975-07-26,2009-06-01,DEM,A,938,Highland Way,,Arlington,VA,22207,Arlington County,268,VA-10,39,42,83
467570835,Torres,Carolyn,Marie,Jr,F,1931-07-08,1999-09-20,REP,A,9663,Park St,Apt 560,Falls Church,VA,22044,Falls Church City,409,VA-10,32,53,63
247395716,Walker,Helen,N,,F,1964-10-12,1995-05-23,REP,A,4835,Walnut Dr,Apt 112,McLean,VA,22102,Fairfax County,858,VA-11,34,43,12
410812797,Brown,Donald,R,,M,1935-02-21,2007-01-30,DEM,A,1747,Chestnut Rd,,Burke,VA,22015,Fairfax County,367,VA-10,33,43,32
486066116,Hill,Pamela,G,,F,1965-08-21,2011-10-08,REP,A,2298,Center Way,,Ashburn,VA,20148,Loudoun County,252,VA-11,37,42,72
830461452,Martin,Ryan,L,,M,1993-12-27,2017-12-22,DEM,A,6121,College Dr,,Falls Church,VA,22043,Falls Church City,379,VA-10,36,67,91
505333621,Morris,Elizabeth,,,F,1987-03-09,2016-07-06,REP,A,9339,Oak Way,Apt 385,Lorton,VA,22079,Fairfax County,164,VA-08,33,86,7
410594268,Collins,Samuel,Lynn,,M,1951-10-03,2005-04-06,NPA,I,3748,Market St,,Leesburg,VA,20175,Loudoun County,886,VA-11,36,41,25
199282456,Hill,Pamela,Lee,,F,1967-03-15,2014-08-13,DEM,I,6875,Park Ln,#47,Leesburg,VA,20175,Loudoun County,368,VA-10,30,45,94
356979659,Moore,Michael,Rose,IV,M,2006-01-21,2024-02-07,DEM,A,9256,Washington Pl,#21,Vienna,VA,22182,Fairfax County,503,VA-08,31,49,91
721849977,Robinson,Deborah,Lynn,,F,1962-07-04,2024-08-11,NPA,A,7792,Lincoln Blvd,,Woodbridge,VA,22191,Prince William County,709,VA-08,32,34,26
297619784,Perez,Matthew,R,,M,2001-05-06,2024-08-07,GRN,A,4316,Lincoln Pl,Apt 939,Ashburn,VA,20148,Loudoun County,872,VA-11,35,39,14
797818850,Williams,Eric,E,,M,1929-07-31,1982-05-03,REP,A,2574,Main Dr,,McLean,VA,22101,Fairfax County,870,VA-08,39,67,41
